0: pha2=0, ran=0, equ=0
7800: pha2=1153, ran=3068, equ=3579
7850: pha2=1158, ran=3086, equ=3606
7900: pha2=1164, ran=3106, equ=3630
7950: pha2=1168, ran=3123, equ=3659
8000: pha2=1174, ran=3141, equ=3685
8050: pha2=1179, ran=3159, equ=3712
8100: pha2=1189, ran=3177, equ=3734
8150: pha2=1196, ran=3199, equ=3755
8200: pha2=1205, ran=3218, equ=3777
8250: pha2=1211, ran=3235, equ=3804
8300: pha2=1218, ran=3251, equ=3831
8350: pha2=1224, ran=3270, equ=3856
8400: pha2=1233, ran=3292, equ=3875
8450: pha2=1238, ran=3313, equ=3899
8500: pha2=1244, ran=3337, equ=3919
8550: pha2=1252, ran=3357, equ=3941
8600: pha2=1264, ran=3373, equ=3963
8650: pha2=1270, ran=3393, equ=3987
8700: pha2=1278, ran=3412, equ=4010
8750: pha2=1286, ran=3435, equ=4029
8800: pha2=1291, ran=3460, equ=4049
8850: pha2=1297, ran=3482, equ=4071
8900: pha2=1301, ran=3507, equ=4092
8950: pha2=1305, ran=3528, equ=4117
9000: pha2=1314, ran=3551, equ=4135
9049: ph2=1325, ran=3569, equ=4155
