162: my_win=128, ran2_win=2, equ=32
163: my_win=128, ran2_win=3, equ=32
164: my_win=129, ran2_win=3, equ=32
165: my_win=130, ran2_win=3, equ=32
166: my_win=131, ran2_win=3, equ=32
167: my_win=132, ran2_win=3, equ=32
168: my_win=132, ran2_win=3, equ=33
169: my_win=133, ran2_win=3, equ=33
170: my_win=134, ran2_win=3, equ=33
171: my_win=135, ran2_win=3, equ=33
172: my_win=135, ran2_win=3, equ=34
173: my_win=136, ran2_win=3, equ=34
174: my_win=136, ran2_win=3, equ=35
175: my_win=137, ran2_win=3, equ=35
176: my_win=137, ran2_win=4, equ=35
177: my_win=137, ran2_win=4, equ=36
178: my_win=138, ran2_win=4, equ=36
179: my_win=138, ran2_win=4, equ=37
180: my_win=139, ran2_win=4, equ=37
181: my_win=139, ran2_win=4, equ=38
182: my_win=139, ran2_win=4, equ=39
183: my_win=140, ran2_win=4, equ=39
184: my_win=141, ran2_win=4, equ=39
185: my_win=142, ran2_win=4, equ=39
186: my_win=143, ran2_win=4, equ=39
187: my_win=144, ran2_win=4, equ=39
188: my_win=145, ran2_win=4, equ=39
189: my_win=145, ran2_win=5, equ=39
190: my_win=146, ran2_win=5, equ=39
191: my_win=147, ran2_win=5, equ=39
192: my_win=148, ran2_win=5, equ=39
193: my_win=149, ran2_win=5, equ=39
194: my_win=149, ran2_win=5, equ=40
195: my_win=150, ran2_win=5, equ=40
196: my_win=151, ran2_win=5, equ=40
197: my_win=151, ran2_win=5, equ=41
198: my_win=152, ran2_win=5, equ=41
199: my_win=152, ran2_win=5, equ=42
200: my_win=153, ran2_win=5, equ=42
201: my_win=153, ran2_win=5, equ=43
202: my_win=154, ran2_win=5, equ=43
203: my_win=155, ran2_win=5, equ=43
204: my_win=155, ran2_win=6, equ=43
205: my_win=156, ran2_win=6, equ=43
206: my_win=157, ran2_win=6, equ=43
207: my_win=158, ran2_win=6, equ=43
208: my_win=159, ran2_win=6, equ=43
209: my_win=160, ran2_win=6, equ=43
210: my_win=161, ran2_win=6, equ=43
211: my_win=161, ran2_win=6, equ=44
212: my_win=162, ran2_win=6, equ=44
213: my_win=163, ran2_win=6, equ=44
214: my_win=164, ran2_win=6, equ=44
215: my_win=165, ran2_win=6, equ=44
216: my_win=166, ran2_win=6, equ=44
217: my_win=167, ran2_win=6, equ=44
218: my_win=168, ran2_win=6, equ=44
219: my_win=168, ran2_win=7, equ=44
220: my_win=169, ran2_win=7, equ=44
221: my_win=170, ran2_win=7, equ=44
222: my_win=170, ran2_win=7, equ=45
223: my_win=171, ran2_win=7, equ=45
224: my_win=171, ran2_win=7, equ=46
225: my_win=172, ran2_win=7, equ=46
226: my_win=172, ran2_win=7, equ=47
227: my_win=173, ran2_win=7, equ=47
228: my_win=174, ran2_win=7, equ=47
229: my_win=175, ran2_win=7, equ=47
230: my_win=176, ran2_win=7, equ=47
231: my_win=177, ran2_win=7, equ=47
232: my_win=178, ran2_win=7, equ=47
233: my_win=179, ran2_win=7, equ=47
234: my_win=180, ran2_win=7, equ=47
235: my_win=181, ran2_win=7, equ=47
236: my_win=182, ran2_win=7, equ=47
237: my_win=182, ran2_win=7, equ=48
238: my_win=183, ran2_win=7, equ=48
239: my_win=183, ran2_win=7, equ=49
240: my_win=184, ran2_win=7, equ=49
241: my_win=185, ran2_win=7, equ=49
242: my_win=186, ran2_win=7, equ=49
243: my_win=186, ran2_win=7, equ=50
244: my_win=187, ran2_win=7, equ=50
245: my_win=188, ran2_win=7, equ=50
246: my_win=189, ran2_win=7, equ=50
247: my_win=189, ran2_win=7, equ=51
248: my_win=190, ran2_win=7, equ=51
249: my_win=190, ran2_win=7, equ=52
250: my_win=191, ran2_win=7, equ=52
251: my_win=191, ran2_win=7, equ=53
252: my_win=192, ran2_win=7, equ=53
253: my_win=193, ran2_win=7, equ=53
254: my_win=194, ran2_win=7, equ=53
255: my_win=195, ran2_win=7, equ=53
256: my_win=196, ran2_win=7, equ=53
257: my_win=197, ran2_win=7, equ=53
258: my_win=198, ran2_win=7, equ=53
259: my_win=198, ran2_win=7, equ=54
260: my_win=199, ran2_win=7, equ=54
261: my_win=200, ran2_win=7, equ=54
262: my_win=201, ran2_win=7, equ=54
263: my_win=202, ran2_win=7, equ=54
264: my_win=202, ran2_win=7, equ=55
265: my_win=202, ran2_win=7, equ=56
266: my_win=203, ran2_win=7, equ=56
267: my_win=203, ran2_win=7, equ=57
268: my_win=204, ran2_win=7, equ=57
269: my_win=204, ran2_win=7, equ=58
270: my_win=204, ran2_win=7, equ=59
271: my_win=205, ran2_win=7, equ=59
272: my_win=206, ran2_win=7, equ=59
273: my_win=206, ran2_win=7, equ=60
274: my_win=207, ran2_win=7, equ=60
275: my_win=208, ran2_win=7, equ=60
276: my_win=209, ran2_win=7, equ=60
277: my_win=210, ran2_win=7, equ=60
278: my_win=211, ran2_win=7, equ=60
279: my_win=212, ran2_win=7, equ=60
280: my_win=213, ran2_win=7, equ=60
281: my_win=213, ran2_win=7, equ=61
282: my_win=213, ran2_win=7, equ=62
283: my_win=213, ran2_win=7, equ=63
284: my_win=214, ran2_win=7, equ=63
285: my_win=215, ran2_win=7, equ=63
286: my_win=216, ran2_win=7, equ=63
287: my_win=217, ran2_win=7, equ=63
288: my_win=218, ran2_win=7, equ=63
289: my_win=219, ran2_win=7, equ=63
290: my_win=220, ran2_win=7, equ=63
291: my_win=221, ran2_win=7, equ=63
292: my_win=222, ran2_win=7, equ=63
293: my_win=223, ran2_win=7, equ=63
294: my_win=224, ran2_win=7, equ=63
295: my_win=225, ran2_win=7, equ=63
296: my_win=226, ran2_win=7, equ=63
297: my_win=227, ran2_win=7, equ=63
