0: ph7=0, ran=0, equ=0
1: pha7=1, ran=0, equ=0
2: pha7=2, ran=0, equ=0
3: pha7=3, ran=0, equ=0
4: pha7=4, ran=0, equ=0
5: pha7=4, ran=0, equ=1
6: pha7=5, ran=0, equ=1
7: pha7=6, ran=0, equ=1
8: pha7=6, ran=0, equ=2
9: pha7=7, ran=0, equ=2
10: pha7=7, ran=0, equ=3
11: pha7=8, ran=0, equ=3
12: pha7=9, ran=0, equ=3
13: pha7=10, ran=0, equ=3
14: pha7=11, ran=0, equ=3
15: pha7=12, ran=0, equ=3
16: pha7=13, ran=0, equ=3
17: pha7=13, ran=0, equ=4
18: pha7=14, ran=0, equ=4
19: pha7=15, ran=0, equ=4
20: pha7=16, ran=0, equ=4
21: pha7=17, ran=0, equ=4
22: pha7=18, ran=0, equ=4
23: pha7=19, ran=0, equ=4
24: pha7=20, ran=0, equ=4
25: pha7=21, ran=0, equ=4
26: pha7=22, ran=0, equ=4
27: pha7=23, ran=0, equ=4
28: pha7=24, ran=0, equ=4
29: pha7=25, ran=0, equ=4
30: pha7=26, ran=0, equ=4
31: pha7=26, ran=0, equ=5
32: pha7=27, ran=0, equ=5
33: pha7=28, ran=0, equ=5
34: pha7=29, ran=0, equ=5
35: pha7=29, ran=0, equ=6
36: pha7=30, ran=0, equ=6
37: pha7=31, ran=0, equ=6
38: pha7=32, ran=0, equ=6
39: pha7=33, ran=0, equ=6
40: pha7=34, ran=0, equ=6
41: pha7=35, ran=0, equ=6
42: pha7=36, ran=0, equ=6
43: pha7=37, ran=0, equ=6
44: pha7=38, ran=0, equ=6
45: pha7=39, ran=0, equ=6
46: pha7=40, ran=0, equ=6
47: pha7=41, ran=0, equ=6
48: pha7=42, ran=0, equ=6
49: pha7=43, ran=0, equ=6
50: pha7=44, ran=0, equ=6
51: pha7=45, ran=0, equ=6
52: pha7=46, ran=0, equ=6
53: pha7=47, ran=0, equ=6
54: pha7=48, ran=0, equ=6
55: pha7=49, ran=0, equ=6
56: pha7=50, ran=0, equ=6
57: pha7=51, ran=0, equ=6
58: pha7=52, ran=0, equ=6
59: pha7=53, ran=0, equ=6
60: pha7=54, ran=0, equ=6
61: pha7=55, ran=0, equ=6
62: pha7=56, ran=0, equ=6
63: pha7=56, ran=0, equ=7
64: pha7=57, ran=0, equ=7
65: pha7=58, ran=0, equ=7
66: pha7=59, ran=0, equ=7
67: pha7=60, ran=0, equ=7
68: pha7=61, ran=0, equ=7
69: pha7=62, ran=0, equ=7
70: pha7=63, ran=0, equ=7
71: pha7=64, ran=0, equ=7
72: pha7=65, ran=0, equ=7
73: pha7=66, ran=0, equ=7
74: pha7=67, ran=0, equ=7
75: pha7=68, ran=0, equ=7
76: pha7=69, ran=0, equ=7
77: pha7=70, ran=0, equ=7
78: pha7=71, ran=0, equ=7
79: pha7=72, ran=0, equ=7
80: pha7=73, ran=0, equ=7
81: pha7=73, ran=0, equ=8
82: pha7=74, ran=0, equ=8
83: pha7=75, ran=0, equ=8
84: pha7=76, ran=0, equ=8
85: pha7=77, ran=0, equ=8
86: pha7=78, ran=0, equ=8
87: pha7=79, ran=0, equ=8
88: pha7=80, ran=0, equ=8
89: pha7=81, ran=0, equ=8
90: pha7=82, ran=0, equ=8
91: pha7=83, ran=0, equ=8
92: pha7=84, ran=0, equ=8
93: pha7=85, ran=0, equ=8
94: pha7=86, ran=0, equ=8
95: pha7=87, ran=0, equ=8
96: pha7=88, ran=0, equ=8
97: pha7=89, ran=0, equ=8
98: pha7=90, ran=0, equ=8
99: pha7=91, ran=0, equ=8
100: pha7=92, ran=0, equ=8
101: pha7=93, ran=0, equ=8
102: pha7=93, ran=0, equ=9
103: pha7=94, ran=0, equ=9
104: pha7=95, ran=0, equ=9
105: pha7=96, ran=0, equ=9
106: pha7=97, ran=0, equ=9
107: pha7=98, ran=0, equ=9
108: pha7=99, ran=0, equ=9
109: pha7=100, ran=0, equ=9
110: pha7=101, ran=0, equ=9
111: pha7=102, ran=0, equ=9
112: pha7=103, ran=0, equ=9
113: pha7=104, ran=0, equ=9
114: pha7=105, ran=0, equ=9
115: pha7=106, ran=0, equ=9
116: pha7=106, ran=0, equ=10
117: pha7=107, ran=0, equ=10
118: pha7=108, ran=0, equ=10
119: pha7=109, ran=0, equ=10
120: pha7=110, ran=0, equ=10
121: pha7=111, ran=0, equ=10
122: pha7=112, ran=0, equ=10
123: pha7=113, ran=0, equ=10
124: pha7=114, ran=0, equ=10
125: pha7=115, ran=0, equ=10
126: pha7=116, ran=0, equ=10
127: pha7=116, ran=0, equ=11
128: pha7=116, ran=0, equ=12
129: pha7=117, ran=0, equ=12
130: pha7=118, ran=0, equ=12
131: pha7=119, ran=0, equ=12
132: pha7=120, ran=0, equ=12
133: pha7=121, ran=0, equ=12
134: pha7=122, ran=0, equ=12
135: pha7=123, ran=0, equ=12
136: pha7=124, ran=0, equ=12
137: pha7=125, ran=0, equ=12
138: pha7=126, ran=0, equ=12
139: pha7=127, ran=0, equ=12
140: pha7=128, ran=0, equ=12
141: pha7=129, ran=0, equ=12
142: pha7=130, ran=0, equ=12
143: pha7=131, ran=0, equ=12
144: pha7=132, ran=0, equ=12
145: pha7=133, ran=0, equ=12
