ph5_time=8.98801875114441, ph6_time=6.8100011348724365
ph5_time=9.008980751037598, ph6_time=6.827999591827393
ph5_time=8.961000204086304, ph6_time=6.780019044876099
ph5_time=8.954000234603882, ph6_time=6.811000108718872
ph5_time=8.958989381790161, ph6_time=6.837000131607056
ph5_time=8.956000089645386, ph6_time=6.766010522842407
ph5_time=9.039981842041016, ph6_time=6.844999551773071
ph5_time=8.979018926620483, ph6_time=6.778999090194702
ph5_time=8.931002140045166, ph6_time=6.786999940872192
ph5_time=8.989983320236206, ph6_time=6.80399751663208
ph5_time=8.929989099502563, ph6_time=6.797017574310303
ph5_time=8.999999761581421, ph6_time=6.819010496139526
ph5_time=8.963991641998291, ph6_time=6.838989734649658
ph5_time=9.01101016998291, ph6_time=6.785008907318115
ph5_time=8.98800015449524, ph6_time=6.756999731063843
ph5_time=8.95300030708313, ph6_time=6.729999542236328
ph5_time=8.990981578826904, ph6_time=6.760999917984009
ph5_time=9.003999948501587, ph6_time=6.743018388748169
ph5_time=8.997979402542114, ph6_time=6.830000162124634
ph5_time=9.023998022079468, ph6_time=6.817003965377808
ph5_time=8.941981077194214, ph6_time=6.786017894744873
ph5_time=8.97599983215332, ph6_time=6.782019376754761
ph5_time=9.098019123077393, ph6_time=6.804980754852295
ph5_time=9.004999876022339, ph6_time=6.845000267028809
ph5_time=9.040990114212036, ph6_time=6.828000068664551
ph5_time=8.986000061035156, ph6_time=6.833009958267212
ph5_time=8.951000452041626, ph6_time=6.877999544143677
ph5_time=9.01198959350586, ph6_time=6.794999599456787
ph5_time=9.03702163696289, ph6_time=6.834988832473755
ph5_time=9.16200041770935, ph6_time=6.858000040054321
ph5_time=9.078010559082031, ph6_time=6.79399847984314
ph5_time=8.966999769210815, ph6_time=6.779000282287598
ph5_time=8.943010568618774, ph6_time=6.835989236831665
ph5_time=9.060002088546753, ph6_time=6.78798770904541
ph5_time=8.965981006622314, ph6_time=6.733010292053223
ph5_time=8.98200011253357, ph6_time=6.764018774032593
ph5_time=8.957018852233887, ph6_time=6.789981365203857
ph5_time=8.951019763946533, ph6_time=6.834990739822388
ph5_time=9.027999877929688, ph6_time=6.779999256134033
ph5_time=9.023000001907349, ph6_time=6.7840001583099365
ph5_time=9.070999383926392, ph6_time=6.75100040435791
ph5_time=9.009000062942505, ph6_time=6.8500001430511475
ph5_time=8.960999011993408, ph6_time=6.795001029968262
ph5_time=9.03499960899353, ph6_time=6.832000255584717
ph5_time=9.027986526489258, ph6_time=6.822000026702881
ph5_time=8.955980777740479, ph6_time=6.795013189315796
ph5_time=8.989990711212158, ph6_time=6.821028709411621
ph5_time=8.955999612808228, ph6_time=6.761000156402588
ph5_time=8.953019380569458, ph6_time=6.8829803466796875
ph5_time=8.9649817943573, ph6_time=6.730999946594238
ph5_time=9.055991888046265, ph6_time=6.816018104553223
ph5_time=9.077018022537231, ph6_time=6.903990030288696
ph5_time=9.0, ph6_time=6.786000490188599
ph5_time=9.121017932891846, ph6_time=6.907981872558594
ph5_time=9.077978610992432, ph6_time=6.827000141143799
ph5_time=9.096999883651733, ph6_time=6.831021308898926
ph5_time=9.071000099182129, ph6_time=6.877000093460083
ph5_time=9.019999504089355, ph6_time=6.877983093261719
ph5_time=9.000999689102173, ph6_time=6.7590172290802
ph5_time=8.993017196655273, ph6_time=6.863983869552612
ph5_time=9.819854974746704, ph6_time=6.886981248855591
ph5_time=9.337984800338745, ph6_time=7.286958694458008
ph5_time=9.399984121322632, ph6_time=7.051015138626099
ph5_time=9.823350667953491, ph6_time=7.431997299194336
ph5_time=9.174996376037598, ph6_time=7.194561243057251
ph5_time=9.214000463485718, ph6_time=6.892999887466431
ph5_time=9.176016330718994, ph6_time=6.983002185821533
ph5_time=9.174018621444702, ph6_time=6.928981304168701
ph5_time=9.090020418167114, ph6_time=6.833979606628418
ph5_time=9.1169912815094, ph6_time=6.7809898853302
ph5_time=9.145997524261475, ph6_time=7.022002696990967
ph5_time=8.990996360778809, ph6_time=7.079025506973267
ph5_time=9.0, ph6_time=6.771016836166382
ph5_time=9.113999605178833, ph6_time=6.890000343322754
ph5_time=9.086193323135376, ph6_time=6.854694843292236
ph5_time=9.617999792098999, ph6_time=6.836999177932739
ph5_time=8.914989233016968, ph6_time=6.762000322341919
ph5_time=8.965999841690063, ph6_time=6.783010721206665
ph5_time=8.982000589370728, ph6_time=6.935979843139648
ph5_time=9.106999635696411, ph6_time=6.779019832611084
ph5_time=8.947009325027466, ph6_time=6.820990562438965
ph5_time=8.983010053634644, ph6_time=6.748990058898926
ph5_time=8.984999895095825, ph6_time=6.779000282287598
ph5_time=9.00402045249939, ph6_time=6.781979322433472
ph5_time=9.127009630203247, ph6_time=6.886980056762695
ph5_time=8.967987537384033, ph6_time=6.798004150390625
ph5_time=9.03100037574768, ph6_time=6.758018493652344
ph5_time=8.986019134521484, ph6_time=7.110980749130249
ph5_time=9.041746854782104, ph6_time=6.8794496059417725
ph5_time=9.053030014038086, ph6_time=6.84708571434021
ph5_time=9.067609310150146, ph6_time=6.896776914596558
ph5_time=9.080984830856323, ph6_time=7.511020660400391
ph5_time=8.996991395950317, ph6_time=6.887015104293823
ph5_time=8.982999563217163, ph6_time=6.769989490509033
ph5_time=9.0090012550354, ph6_time=6.748019695281982
ph5_time=8.999999761581421, ph6_time=6.7499988079071045
